timestamp,high,low,open,close,volume
2019-07-06,1.296,1.2,1.291,1.227,358095.39
2019-07-07,1.239,1.148,1.227,1.204,292452.08
2019-07-08,1.243,1.174,1.204,1.229,298504.73
2019-07-09,1.249,1.15,1.229,1.219,348685.68
2019-07-10,1.266,1.148,1.219,1.179,585265.18
2019-07-11,1.191,0.9624,1.179,1.005,653815.06
2019-07-12,1.09,0.9835,1.005,1.072,418472.41
2019-07-13,1.103,0.94,1.072,0.9935,455143.34
2019-07-14,1.017,0.9286,0.9935,0.9338,313642.7
2019-07-15,1.016,0.88,0.9338,0.9748,814018.16
2019-07-16,0.9818,0.8385,0.9748,0.8713,669833.65
2019-07-17,0.9603,0.8282,0.8713,0.9217,533994.36
2019-07-18,0.9968,0.9015,0.9217,0.9732,359294.63
2019-07-19,0.9891,0.9295,0.9732,0.977,191643.35
2019-07-20,1.062,0.976,0.977,1.04,188982.98
2019-07-21,1.17,0.9311,1.04,1.08,1054465.69
2019-07-22,1.153,1.075,1.08,1.115,473467.27
2019-07-23,1.123,1.003,1.115,1.062,446100.99
2019-07-24,1.12,0.946,1.062,0.9938,939111.48
2019-07-25,1.056,0.9836,0.9938,1.035,184164.42
2019-07-26,1.044,1,1.035,1.037,203986.1
2019-07-27,1.06,0.9773,1.037,1.008,292971.26
2019-07-28,1.014,0.971,1.008,1.013,191843.49
2019-07-29,1.038,0.9968,1.013,1.011,111886.91
2019-07-30,1.268,0.9977,1.011,1.222,1660434.89
2019-07-31,1.305,1.211,1.222,1.263,837611.11
2019-08-01,1.456,1.237,1.263,1.399,869364.84
2019-08-02,1.467,1.351,1.399,1.426,730141.44
2019-08-03,1.466,1.372,1.426,1.438,409630.63
2019-08-04,1.498,1.385,1.438,1.425,477006.16
2019-08-05,1.5,1.334,1.425,1.469,644619.36
2019-08-06,1.687,1.362,1.469,1.479,1597980.98
2019-08-07,1.495,1.333,1.479,1.344,621939.01
2019-08-08,1.595,1.335,1.344,1.572,2133440.78
2019-08-09,1.585,1.366,1.572,1.433,3991618.31
2019-08-10,1.448,1.351,1.433,1.39,2218249.14
2019-08-11,1.414,1.362,1.39,1.379,1092154.81
2019-08-12,1.392,1.358,1.379,1.365,941857.56
2019-08-13,1.374,1.242,1.365,1.254,1901928.09
2019-08-14,1.29,1.132,1.254,1.145,2667468.16
2019-08-15,1.269,1.016,1.145,1.218,3308482.13
2019-08-16,1.261,1.13,1.218,1.223,2087764.88
2019-08-17,1.225,1.169,1.223,1.194,797590.87
2019-08-18,1.242,1.174,1.194,1.204,1067163.83
2019-08-19,1.243,1.188,1.204,1.217,718846.79
2019-08-20,1.219,1.153,1.217,1.16,726997.97
2019-08-21,1.167,1.1,1.16,1.122,827783.61
2019-08-22,1.155,1.087,1.122,1.137,800293.06
2019-08-23,1.218,1.128,1.137,1.175,909571.08
2019-08-24,1.179,1.114,1.175,1.149,402695.18
2019-08-25,1.17,1.116,1.149,1.136,431231.49
2019-08-26,1.191,1.133,1.136,1.168,599620.2
2019-08-27,1.179,1.116,1.168,1.126,782455.31
2019-08-28,1.128,1.025,1.126,1.053,985595.13
2019-08-29,1.061,0.9886,1.053,0.9947,1083248.02
2019-08-30,1.077,0.9941,0.9947,1.063,655605.51
2019-08-31,1.082,1.002,1.063,1.039,571784.38
2019-09-01,1.057,1.012,1.039,1.031,481451.46
2019-09-02,1.084,1.028,1.031,1.064,718271.71
2019-09-03,1.071,1.018,1.064,1.036,863976.43
2019-09-04,1.046,1.008,1.036,1.034,438514.1
2019-09-05,1.054,1.001,1.034,1.013,468790.61
2019-09-06,1.038,0.99,1.013,0.9958,686897.88
2019-09-07,1.04,0.9731,0.9958,1.02,581760.7
2019-09-08,1.08,1.019,1.02,1.068,593740.51
2019-09-09,1.122,1.019,1.068,1.048,650208.04
2019-09-10,1.052,1.005,1.048,1.015,678847.45
2019-09-11,1.029,0.9959,1.015,1.002,374076.14
2019-09-12,1.026,0.9865,1.002,1.023,372599.51
2019-09-13,1.023,0.9441,1.023,0.9804,583945.61
2019-09-14,1.017,0.9522,0.9804,1,462669.36
2019-09-15,1.022,0.9806,1,1.004,401947.05
2019-09-16,1.009,0.9735,1.004,1.001,353257.87
2019-09-17,1.121,0.9903,1.001,1.108,1195514.28
2019-09-18,1.152,1.081,1.108,1.086,1095539.07
2019-09-19,1.125,1.026,1.086,1.091,898131.72
2019-09-20,1.113,1.042,1.091,1.063,423343.09
2019-09-21,1.076,1.052,1.063,1.071,249049.36
2019-09-22,1.076,1.044,1.071,1.048,291765.67
2019-09-23,1.142,1.014,1.048,1.051,1612042.7
2019-09-24,1.136,0.8806,1.051,0.9208,2481141.21
2019-09-25,0.928,0.8163,0.9208,0.8524,1275692.07
2019-09-26,0.922,0.8095,0.8524,0.8503,1363686.08
2019-09-27,0.8973,0.8163,0.8503,0.8881,738460.46
2019-09-28,0.9162,0.8505,0.8881,0.8905,455680.56
2019-09-29,0.9095,0.8519,0.8905,0.879,505575.65
2019-09-30,0.9192,0.8457,0.879,0.9009,672318.73
2019-10-01,1.029,0.8954,0.9009,0.9485,1185419.63
2019-10-02,0.9592,0.8898,0.9485,0.9457,895127.67
2019-10-03,0.9645,0.9108,0.9457,0.934,574029.56
2019-10-04,0.9371,0.8994,0.934,0.9246,413532.73
2019-10-05,0.9303,0.9033,0.9246,0.9145,259105.31
2019-10-06,0.9303,0.8601,0.9145,0.8686,660432.34
2019-10-07,0.9294,0.8602,0.8686,0.8995,918797.71
2019-10-08,0.9144,0.8862,0.8995,0.8939,574658.55
2019-10-09,0.9745,0.8921,0.8939,0.9403,779278.5
2019-10-10,0.9563,0.9184,0.9403,0.9185,459047.22
2019-10-11,0.9242,0.88,0.9185,0.9042,678141.49
2019-10-12,0.9129,0.8865,0.9042,0.8865,166877.46
2019-10-13,0.9459,0.8835,0.8865,0.9021,562052.16
2019-10-14,0.9544,0.9,0.9021,0.9395,368692.61
2019-10-15,0.9526,0.9003,0.9395,0.9071,365248.9
2019-10-16,0.9122,0.8596,0.9071,0.877,461077.14
2019-10-17,0.9158,0.87,0.877,0.8959,358270.54
2019-10-18,0.9043,0.8685,0.8959,0.8834,299704.55
2019-10-19,0.9134,0.8629,0.8834,0.8919,200220.66
2019-10-20,0.9077,0.8561,0.8919,0.8923,122890.7
2019-10-21,0.9187,0.8772,0.8923,0.8907,193221.54
2019-10-22,0.9299,0.8345,0.8907,0.8598,491101.85
2019-10-23,0.8725,0.7565,0.8598,0.7713,1253466.62
2019-10-24,0.8346,0.7522,0.7713,0.7661,854582.04
2019-10-25,0.8434,0.7661,0.7661,0.8376,818790.2
2019-10-26,0.9237,0.8134,0.8376,0.8339,1110690.34
2019-10-27,0.8746,0.8138,0.8339,0.8602,710483.46
2019-10-28,0.8899,0.8491,0.8602,0.8611,698291.74
2019-10-29,0.8687,0.8374,0.8611,0.8523,316437.37
2019-10-30,0.9236,0.8192,0.8523,0.8767,1327158.97
2019-10-31,0.9276,0.8667,0.8767,0.8877,509407.91
2019-11-01,0.8928,0.8611,0.8877,0.8787,317908.94
2019-11-02,0.8849,0.8511,0.8787,0.861,474486.44
2019-11-03,0.8717,0.85,0.861,0.8679,254831.63
2019-11-04,0.9076,0.8612,0.8679,0.8857,664353.4
2019-11-05,0.9294,0.8766,0.8857,0.9283,722793.5
2019-11-06,1.127,0.8977,0.9283,1.054,2966014.79
2019-11-07,1.787,1.046,1.054,1.207,19144142.55
2019-11-08,1.306,1.12,1.207,1.162,4789863.18
2019-11-09,1.277,1.147,1.162,1.263,2618461.64
2019-11-10,1.263,1.186,1.263,1.222,2044138.1
2019-11-11,1.244,1.17,1.222,1.174,1272151.1
2019-11-12,1.215,1.145,1.174,1.171,1364583.9
2019-11-13,1.176,1.107,1.171,1.131,1904687.07
2019-11-14,1.29,1.092,1.131,1.21,5010254.88
2019-11-15,1.269,1.129,1.21,1.17,2435571.54
2019-11-16,1.193,1.145,1.17,1.158,1520258.59
2019-11-17,1.173,1.15,1.158,1.156,682801.89
2019-11-18,1.254,1.15,1.156,1.208,3033838.8
2019-11-19,1.24,1.147,1.208,1.204,2274635.34
2019-11-20,1.242,1.156,1.204,1.207,2135756.55
2019-11-21,1.305,1.185,1.207,1.235,4007478.45
2019-11-22,1.279,1.072,1.235,1.216,5242297.94
2019-11-23,1.445,1.214,1.216,1.387,7573262.21
2019-11-24,1.418,1.27,1.387,1.311,2716262.33
2019-11-25,1.323,1.202,1.311,1.236,3672128.21
